Custom_ID,latitude,longitude
1,35.040199,-106.609001
2,41.25310135,-70.06020355
3,42.74829864501953,-73.80169677734375
4,33.6367,-84.428101
5,30.197535,-97.662015
6,35.436199,-82.541801
7,41.9388999939,-72.68319702149999
8,44.80739974975586,-68.8281021118164
9,33.56290054,-86.75350189
10,36.1245002746582,-86.6781997680664
11,42.3643,-71.005203
12,44.471900939899996,-73.15329742429999
13,42.94049835,-78.73220062
14,34.197703,-118.356378
15,39.1754,-76.668297
16,45.77750015,-111.1529999
17,33.93880081176758,-81.11949920654297
18,40.916099548339844,-81.44219970703125
19,38.13859939575195,-78.4529037475586
20,32.898602,-80.040497
21,41.4117012024,-81.8498001099
22,35.2140007019043,-80.94309997558594
23,39.998001,-82.891899
24,38.37310028076172,-81.59320068359375
25,39.048801,-84.667801
26,39.902400970458984,-84.21939849853516
27,38.8521,-77.037697
28,39.861698150635,-104.672996521
29,32.896801,-97.038002
30,41.534,-93.663101
31,42.212398529052734,-83.35340118408203
32,39.64260101,-106.9179993
33,40.692501,-74.168701
34,24.556101,-81.759598
35,26.072599,-80.152702
36,42.88079834,-85.52279663
37,36.097801208496094,-79.93730163574219
38,34.895699,-82.218903
39,40.48120117,-107.2180023
40,29.64539909,-95.27890015
41,38.9445,-77.455803
42,29.984399795532227,-95.34140014648438
43,34.270599365234375,-77.90260314941406
44,39.7173,-86.294403
45,43.6072998046875,-110.73799896240234
46,30.49410057067871,-81.68789672851562
47,40.639801,-73.7789
48,36.08010101,-115.1520004
49,33.942501,-118.407997
50,38.0364990234375,-84.60590362548828
51,40.777199,-73.872597
52,40.777199,-73.872597
53,33.817699,-118.152
54,39.2976,-94.713898
55,28.429399490356445,-81.30899810791016
56,41.785999,-87.752403
57,35.04240036010742,-89.97669982910156
58,42.932598,-71.435699
59,25.79319953918457,-80.29060363769531
60,42.947200775146484,-87.89659881591797
61,43.1399,-89.337502
62,44.882,-93.221802
63,29.99340057373047,-90.25800323486328
64,38.509799957300004,-107.893997192
65,41.3931007385,-70.6143035889
66,33.6796989441,-78.9282989502
67,37.721298,-122.221001
68,35.39310073852539,-97.60070037841797
69,41.3032,-95.894096
70,41.9786,-87.9048
71,36.89459991455078,-76.20120239257812
72,26.68320083618164,-80.09559631347656
73,45.58869934,-122.5979996
74,39.87189865112305,-75.24109649658203
75,33.435302,-112.005905
76,40.49150085,-80.23290253
77,33.8297,-116.507004
78,41.732601,-71.420403
79,43.646198,-70.309303
80,35.877601623535156,-78.7874984741211
81,37.50519943237305,-77.3197021484375
82,43.1189,-77.672401
83,26.53619956970215,-81.75520324707031
84,32.7336006165,-117.190002441
85,29.533701,-98.469803
86,32.12760162,-81.20210266
87,41.708698,-86.317299
88,38.1744,-85.736
89,47.449001,-122.308998
90,37.61899948120117,-122.375
91,37.362598,-121.929001
92,40.785749,-111.979746
93,38.69540023803711,-121.59100341796875
94,33.675701,-117.867996
95,27.39539909362793,-82.55439758300781
96,38.748697,-90.370003
97,43.11119842529297,-76.1063003540039
98,27.975500106811523,-82.533203125
99,36.19839859008789,-95.88809967041016
100,44.74140167236328,-85.58219909667969
101,35.81100082,-83.9940033
102,36.281898,-94.306801
